d band center is: -2.3953510575166184 eV
energy      spin1_O                   spin2_O                   spin1_Cu                   spin2_Cu
-10.001     0.000000000               0.000000000               0.000000000               0.000000000               
-9.991     0.000000000               0.000000000               0.000000000               0.000000000               
-9.981     0.000000000               0.000000000               0.000000000               0.000000000               
-9.971     0.000000000               0.000000000               0.000000000               0.000000000               
-9.961     0.000000000               0.000000000               0.000000000               0.000000000               
-9.951     0.000000000               0.000000000               0.000000000               0.000000000               
-9.941     0.000000000               0.000000000               0.000000000               0.000000000               
-9.931     0.000000000               0.000000000               0.000000000               0.000000000               
-9.921     0.000000000               0.000000000               0.000000000               0.000000000               
-9.911     0.000000000               0.000000000               0.000000000               0.000000000               
-9.901     0.000000000               0.000000000               0.000000000               0.000000000               
-9.891     0.000000000               0.000000000               0.000000000               0.000000000               
-9.881     0.000000000               0.000000000               0.000000000               0.000000000               
-9.871     0.000000000               0.000000000               0.000000000               0.000000000               
-9.861     0.000000000               0.000000000               0.000000000               0.000000000               
-9.851     0.000000000               0.000000000               0.000000000               0.000000000               
-9.841     0.000000000               0.000000000               0.000000000               0.000000000               
-9.831     0.000000000               0.000000000               0.000000000               0.000000000               
-9.821     0.000000000               0.000000000               0.000000000               0.000000000               
-9.811     0.000000000               0.000000000               0.000000000               0.000000000               
-9.801     0.000000000               0.000000000               0.000000000               0.000000000               
-9.791     0.000000000               0.000000000               0.000000000               0.000000000               
-9.781     0.000000000               0.000000000               0.000000000               0.000000000               
-9.771     0.000000000               0.000000000               0.000000000               0.000000000               
-9.761     0.000000000               0.000000000               0.000000000               0.000000000               
-9.751     0.000000000               0.000000000               0.000000000               0.000000000               
-9.741     0.000000000               0.000000000               0.000000000               0.000000000               
-9.731     0.000000000               0.000000000               0.000000000               0.000000000               
-9.721     0.000000000               0.000000000               0.000000000               0.000000000               
-9.711     0.000000000               0.000000000               0.000000000               0.000000000               
-9.701     0.000000000               0.000000000               0.000000000               0.000000000               
-9.691     0.000000000               0.000000000               0.000000000               0.000000000               
-9.681     0.000000000               0.000000000               0.000000000               0.000000000               
-9.671     0.000000000               0.000000000               0.000000000               0.000000000               
-9.661     0.000000000               0.000000000               0.000000000               0.000000000               
-9.651     0.000000000               0.000000000               0.000000000               0.000000000               
-9.641     0.000790698               0.000790698               0.000033123               0.000033123               
-9.631     0.026184325               0.026184325               0.001096886               0.001096886               
-9.621     0.318990379               0.318990379               0.013362804               0.013362804               
-9.611     1.429615695               1.429615695               0.059887933               0.059887933               
-9.601     2.357037806               2.357037806               0.098738509               0.098738509               
-9.591     1.429615695               1.429615695               0.059887933               0.059887933               
-9.581     0.318990379               0.318990379               0.013362804               0.013362804               
-9.571     0.026184325               0.026184325               0.001096886               0.001096886               
