d band center is: -2.3818761744473815 eV
energy      spin1_Cu                   spin2_Cu
-10.000     0.000000000               0.000000000               
-9.990     0.000000000               0.000000000               
-9.980     0.000000000               0.000000000               
-9.970     0.000000000               0.000000000               
-9.960     0.000000000               0.000000000               
-9.950     0.000000000               0.000000000               
-9.940     0.000000000               0.000000000               
-9.930     0.000000000               0.000000000               
-9.920     0.000000000               0.000000000               
-9.910     0.000000000               0.000000000               
-9.900     0.000000000               0.000000000               
-9.890     0.000000000               0.000000000               
-9.880     0.000000000               0.000000000               
-9.870     0.000000000               0.000000000               
-9.860     0.000000000               0.000000000               
-9.850     0.000000000               0.000000000               
-9.840     0.000000000               0.000000000               
-9.830     0.000000000               0.000000000               
-9.820     0.000000000               0.000000000               
-9.810     0.000000000               0.000000000               
-9.800     0.000000000               0.000000000               
-9.790     0.000000000               0.000000000               
-9.780     0.000000000               0.000000000               
-9.770     0.000000000               0.000000000               
-9.760     0.000000000               0.000000000               
-9.750     0.000000000               0.000000000               
-9.740     0.000000000               0.000000000               
-9.730     0.000000000               0.000000000               
-9.720     0.000000000               0.000000000               
-9.710     0.000000000               0.000000000               
-9.700     0.000000000               0.000000000               
-9.690     0.000000000               0.000000000               
-9.680     0.000000000               0.000000000               
-9.670     0.000000000               0.000000000               
-9.660     0.000000000               0.000000000               
-9.650     0.000000000               0.000000000               
-9.640     0.000000000               0.000000000               
-9.630     0.000000000               0.000000000               
-9.620     0.000000000               0.000000000               
-9.610     0.000000000               0.000000000               
-9.600     0.000000000               0.000000000               
-9.590     0.000000000               0.000000000               
-9.580     0.000000000               0.000000000               
-9.570     0.000000000               0.000000000               
-9.560     0.000000000               0.000000000               
-9.550     0.000000000               0.000000000               
-9.540     0.000000000               0.000000000               
-9.530     0.000000000               0.000000000               
-9.520     0.000000000               0.000000000               
-9.510     0.000000000               0.000000000               
-9.500     0.000000000               0.000000000               
-9.490     0.000000000               0.000000000               
-9.480     0.000000000               0.000000000               
-9.470     0.000000000               0.000000000               
-9.460     0.000000000               0.000000000               
-9.450     0.000000000               0.000000000               
-9.440     0.000000000               0.000000000               
-9.430     0.000000000               0.000000000               
-9.420     0.000000000               0.000000000               
-9.410     0.000000000               0.000000000               
-9.400     0.000000000               0.000000000               
-9.390     0.000000000               0.000000000               
-9.380     0.000000000               0.000000000               
-9.370     0.000000000               0.000000000               
-9.360     0.000000000               0.000000000               
-9.350     0.000000000               0.000000000               
-9.340     0.000000000               0.000000000               
-9.330     0.000000000               0.000000000               
-9.320     0.000000000               0.000000000               
-9.310     0.000000000               0.000000000               
-9.300     0.000000000               0.000000000               
-9.290     0.000000000               0.000000000               
-9.280     0.000000000               0.000000000               
-9.270     0.000000000               0.000000000               
-9.260     0.000000000               0.000000000               
-9.250     0.000000000               0.000000000               
-9.240     0.000000000               0.000000000               
-9.230     0.000000000               0.000000000               
-9.220     0.000000000               0.000000000               
-9.210     0.000000000               0.000000000               
-9.200     0.000000000               0.000000000               
-9.190     0.000000000               0.000000000               
-9.180     0.000000000               0.000000000               
-9.170     0.000000000               0.000000000               
-9.160     0.000000000               0.000000000               
-9.150     0.000000000               0.000000000               
-9.140     0.000000000               0.000000000               
-9.130     0.000000000               0.000000000               
-9.120     0.000000000               0.000000000               
-9.110     0.000000000               0.000000000               
-9.100     0.000000000               0.000000000               
-9.090     0.000000000               0.000000000               
-9.080     0.000000000               0.000000000               
-9.070     0.000000000               0.000000000               
-9.060     0.000000000               0.000000000               
-9.050     0.000000000               0.000000000               
-9.040     0.000000000               0.000000000               
-9.030     0.000000000               0.000000000               
-9.020     0.000000000               0.000000000               
-9.010     0.000000000               0.000000000               
-9.000     0.000000000               0.000000000               
-8.990     0.000000000               0.000000000               
-8.980     0.000000000               0.000000000               
-8.970     0.000000000               0.000000000               
-8.960     0.000000000               0.000000000               
-8.950     0.000000000               0.000000000               
-8.940     0.000000000               0.000000000               
-8.930     0.000000000               0.000000000               
-8.920     0.000000000               0.000000000               
-8.910     0.000000000               0.000000000               
-8.900     0.000000000               0.000000000               
-8.890     0.000000000               0.000000000               
-8.880     0.000000000               0.000000000               
-8.870     0.000000000               0.000000000               
-8.860     0.000000000               0.000000000               
-8.850     0.000000000               0.000000000               
-8.840     0.000000000               0.000000000               
-8.830     0.000000000               0.000000000               
-8.820     0.000000000               0.000000000               
-8.810     0.000000000               0.000000000               
-8.800     0.000000000               0.000000000               
-8.790     0.000000000               0.000000000               
-8.780     0.000000000               0.000000000               
-8.770     0.000000000               0.000000000               
-8.760     0.000000000               0.000000000               
-8.750     0.000000000               0.000000000               
-8.740     0.000000000               0.000000000               
-8.730     0.000000000               0.000000000               
-8.720     0.000000000               0.000000000               
-8.710     0.000000000               0.000000000               
-8.700     0.000000000               0.000000000               
-8.690     0.000000000               0.000000000               
